theta_mrad,x_mslt_cm,x_fslt_cm
3.6450,-0.15749,-1.07729
10.8431,nan,nan
-0.6625,-0.33065,-1.51245
15.4975,nan,nan
9.3605,nan,nan
6.9186,nan,nan
-2.7217,-0.59789,nan
-7.5849,-0.64695,-1.69390
12.3338,nan,nan
9.5449,0.57336,1.90149
1.7952,-0.35315,-2.07288
0.9709,-0.24671,-1.03054
-1.5203,-0.51729,nan
-9.0507,nan,nan
-10.8364,nan,nan
-7.4570,-0.64816,-1.68340
-0.5773,-0.32430,-1.17278
-6.2932,-0.53520,-1.15383
-2.8540,-0.58361,nan
2.8477,0.00275,0.22781
9.1946,0.59453,1.86562
-7.3192,-0.59207,-0.97927
19.1275,nan,nan
-0.0458,-0.27417,-0.86068
9.1091,nan,nan
-5.4483,nan,nan
-5.3786,-0.52060,-1.99993
-11.9721,nan,nan
11.6004,nan,nan
-14.5779,nan,nan
8.9567,0.52730,1.76385
-1.9874,-0.17126,0.29317
15.6480,nan,nan
-9.6075,nan,nan
-18.4940,nan,nan
2.0719,0.19078,1.33563
4.8453,0.16956,0.76399
12.7818,nan,nan
11.1949,nan,nan
-14.1512,nan,nan
-5.4287,-0.71897,nan
12.0481,0.54278,1.26430
-4.7407,-0.44251,-0.93684
12.8560,nan,nan
-16.4297,nan,nan
-7.1118,nan,nan
5.9648,0.59926,1.61490
0.7556,0.01060,0.88888
1.8762,-0.18046,-1.06187
-3.2434,-0.54919,-1.98441
8.6486,0.14868,-0.28469
-0.6911,-0.48746,nan
12.3162,nan,nan
8.6786,nan,nan
11.9572,0.49675,0.98644
6.0730,0.06514,-0.27816
10.2998,0.70805,1.93651
-8.9598,nan,nan
-10.4938,nan,nan
13.5374,nan,nan
4.9089,-0.05764,-0.75932
20.7599,nan,nan
-3.9481,-0.38503,-0.54124
12.7435,nan,nan
14.8895,nan,nan
-2.6299,-0.39140,-1.35393
-4.2963,-0.40079,-0.83170
-0.8425,-0.30390,-0.84585
3.8084,0.30161,1.67205
-10.4998,nan,nan
6.1522,0.57333,2.18596
-5.8326,-0.59540,-1.15579
-2.3881,-0.22699,-0.12910
-9.9034,nan,nan
6.8348,0.18702,0.32429
-3.0903,-0.27939,-0.23943
12.1213,nan,nan
7.7539,0.68651,1.59243
-4.9221,-0.67397,nan
-0.9911,-0.27744,-0.60145
-3.0166,-0.66687,nan
-6.2304,-0.73041,nan
-10.1198,nan,nan
1.5579,0.14409,1.34360
-14.8018,nan,nan
5.6733,0.31109,1.41262
-1.1177,-0.30523,-0.68741
1.6498,0.09082,1.18871
20.5430,nan,nan
16.6147,nan,nan
13.4634,nan,nan
2.1115,-0.18250,-0.88004
2.2737,0.13284,0.90045
10.9225,nan,nan
-0.1021,-0.30179,-0.90855
6.6153,0.62277,1.70334
9.2686,nan,nan
-0.3033,0.06828,1.33127
-6.3609,-0.69994,-1.73289
-4.9085,-0.49041,-1.03770
-0.2632,-0.49057,nan
-2.9082,-0.27424,-0.17591
12.7890,nan,nan
9.2470,0.70775,nan
-7.6563,-0.68673,-1.99191
21.3719,nan,nan
-14.6012,nan,nan
-13.2082,nan,nan
12.9203,nan,nan
-16.4074,nan,nan
-8.5364,-0.74500,-2.15484
-8.0754,-0.74859,-1.94738
-12.8615,nan,nan
3.1951,0.25564,1.41555
7.5257,0.54028,2.09175
-3.6455,-0.43077,-0.92670
18.7723,nan,nan
-14.2787,nan,nan
-6.6720,-0.55818,-1.26616
1.2490,-0.29949,-1.50181
-12.5706,nan,nan
13.6655,0.74526,1.80915
-10.2398,nan,nan
7.4001,0.18181,0.16809
-13.8494,nan,nan
8.5016,0.74973,nan
-11.4434,nan,nan
-11.1393,nan,nan
-15.5561,nan,nan
-8.1504,nan,nan
-7.3782,-0.62170,-1.54922
-15.6944,nan,nan
-10.3040,nan,nan
-12.0057,nan,nan
13.9141,nan,nan
4.3379,0.24978,1.33759
8.4228,0.16435,-0.18809
9.6732,0.18586,-0.35325
4.9199,0.00957,-0.38169
-21.1822,nan,nan
-2.5814,-0.55278,nan
5.9216,0.01835,-0.65978
-8.1923,nan,nan
-11.4384,nan,nan
14.3880,nan,nan
-11.7061,nan,nan
8.3622,0.19519,0.12688
-5.6901,-0.72151,nan
-10.9667,nan,nan
11.4100,0.48612,1.05486
-16.0620,nan,nan
-5.1258,-0.59598,-1.54711
12.9821,0.74414,2.07908
1.6981,0.10504,1.09361
-5.5409,nan,nan
15.0926,nan,nan
-9.2487,nan,nan
-6.2211,-0.52845,-1.10058
1.9404,0.14692,1.24216
4.3359,0.45726,nan
12.5186,nan,nan
-10.4922,nan,nan
-4.1101,-0.61297,nan
-6.3072,nan,nan
-4.0728,-0.45195,-1.48406
9.9660,nan,nan
-4.6436,-0.46822,-1.03158
5.8664,0.53859,1.58691
8.2429,0.03535,-0.89057
-0.0450,-0.03974,0.58224
-7.5333,-0.68017,-1.98169
16.3390,nan,nan
4.4312,0.45400,1.57485
-2.0444,-0.31752,-0.63155
-16.2024,nan,nan
-9.6818,nan,nan
-0.2772,-0.42716,-1.96054
-13.7149,nan,nan
14.2612,nan,nan
1.3711,-0.02307,-0.03081
-13.7560,nan,nan
-3.0890,-0.65255,nan
-11.9506,nan,nan
-7.1979,nan,nan
-10.5117,nan,nan
-5.8251,-0.51874,-1.13550
6.7084,0.22960,0.48734
-4.8681,-0.38635,-0.47931
0.2490,-0.18419,-0.39452
-0.2930,-0.05540,0.69403
-9.3872,nan,nan
-8.4190,-0.68974,-1.84104
4.2284,-0.12938,-1.18593
-3.5219,-0.36155,-0.49648
3.5479,0.28159,1.75146
-14.2264,nan,nan
8.4777,0.36692,0.99868
-6.3169,-0.74103,nan
-5.8926,-0.74193,nan
2.3488,-0.30974,-1.80139
1.2691,0.00863,0.74140
-5.5225,-0.63695,-1.97327
17.1162,nan,nan
9.7608,nan,nan
-7.3872,-0.73372,-2.19171
3.0518,0.14872,1.00972
-3.5551,-0.49758,-1.19372
1.8813,0.08372,0.71831
2.4926,-0.27099,-1.70409
-13.0165,nan,nan
8.4564,0.34768,0.97960
3.8026,0.17800,1.14267
9.0997,0.72086,1.86332
-5.3632,-0.67913,nan
-6.0738,-0.61099,-1.51226
22.9938,nan,nan
-0.7762,-0.05788,0.69676
10.2421,nan,nan
-6.4102,-0.64107,-1.85657
-4.4153,-0.69020,nan
-2.8969,-0.29550,-0.28384
-0.4886,-0.17196,-0.03093
9.1271,nan,nan
-0.0224,-0.23902,-0.65908
-12.0209,nan,nan
7.3518,0.35636,1.16316
13.4739,nan,nan
3.8967,0.03377,-0.03336
-14.1594,nan,nan
-2.4527,-0.50812,-2.07696
14.4341,nan,nan
12.2805,nan,nan
15.5692,nan,nan
5.3448,0.54725,1.35526
-17.4967,nan,nan
-17.3155,nan,nan
7.7727,0.70688,1.59759
-10.8970,nan,nan
-2.3292,-0.27740,-0.37212
-9.7695,nan,nan
-7.0031,-0.64148,-1.60879
3.2451,-0.16482,-1.07412
