x_cm,y_cm,z_cm,bx_T,by_T,bz_T
    5.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -45.8333,  0.15071241E-03,  0.72268813E-03, -0.27189238E-03
  -15.0000,   -1.5000,  -45.8333,  0.77864020E-04,  0.79959837E-03, -0.14047041E-03
  -15.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.82567916E-03, -0.00000000E+00
  -15.0000,    1.5000,  -45.8333, -0.77864020E-04,  0.79959837E-03,  0.14047041E-03
  -15.0000,    3.0000,  -45.8333, -0.15071241E-03,  0.72268813E-03,  0.27189238E-03
  -10.0000,   -3.0000,  -45.8333,  0.83109529E-04,  0.54888272E-03, -0.14993356E-03
  -10.0000,   -1.5000,  -45.8333,  0.42839688E-04,  0.60568957E-03, -0.77284843E-04
  -10.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.62523946E-03, -0.00000000E+00
  -10.0000,    1.5000,  -45.8333, -0.42839688E-04,  0.60568957E-03,  0.77284843E-04
  -10.0000,    3.0000,  -45.8333, -0.83109529E-04,  0.54888272E-03,  0.14993356E-03
   -5.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -41.2500,  0.32618467E-03,  0.13092840E-02, -0.58845273E-03
  -15.0000,   -1.5000,  -41.2500,  0.16692785E-03,  0.14407203E-02, -0.30114581E-03
  -15.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.14847718E-02, -0.00000000E+00
  -15.0000,    1.5000,  -41.2500, -0.16692785E-03,  0.14407203E-02,  0.30114581E-03
  -15.0000,    3.0000,  -41.2500, -0.32618467E-03,  0.13092840E-02,  0.58845273E-03
  -10.0000,   -3.0000,  -41.2500,  0.20882476E-03,  0.90050029E-03, -0.37672984E-03
  -10.0000,   -1.5000,  -41.2500,  0.10754083E-03,  0.99628166E-03, -0.19400879E-03
  -10.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.10285725E-02, -0.00000000E+00
  -10.0000,    1.5000,  -41.2500, -0.10754083E-03,  0.99628166E-03,  0.19400879E-03
  -10.0000,    3.0000,  -41.2500, -0.20882476E-03,  0.90050029E-03,  0.37672984E-03
   -5.0000,   -3.0000,  -41.2500,  0.12480415E-03,  0.65071695E-03, -0.22515265E-03
   -5.0000,   -1.5000,  -41.2500,  0.64529597E-04,  0.71937237E-03, -0.11641447E-03
   -5.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.74274750E-03, -0.00000000E+00
   -5.0000,    1.5000,  -41.2500, -0.64529597E-04,  0.71937237E-03,  0.11641447E-03
   -5.0000,    3.0000,  -41.2500, -0.12480415E-03,  0.65071695E-03,  0.22515265E-03
    0.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -36.6667,  0.61130416E-03,  0.25114176E-02, -0.11028219E-02
  -15.0000,   -1.5000,  -36.6667,  0.31031899E-03,  0.27127656E-02, -0.55983027E-03
  -15.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.27801658E-02, -0.00000000E+00
  -15.0000,    1.5000,  -36.6667, -0.31031899E-03,  0.27127656E-02,  0.55983027E-03
  -15.0000,    3.0000,  -36.6667, -0.61130416E-03,  0.25114176E-02,  0.11028219E-02
  -10.0000,   -3.0000,  -36.6667,  0.42452446E-03,  0.16930503E-02, -0.76586240E-03
  -10.0000,   -1.5000,  -36.6667,  0.21642221E-03,  0.18509065E-02, -0.39043599E-03
  -10.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.19037134E-02, -0.00000000E+00
  -10.0000,    1.5000,  -36.6667, -0.21642221E-03,  0.18509065E-02,  0.39043599E-03
  -10.0000,    3.0000,  -36.6667, -0.42452446E-03,  0.16930503E-02,  0.76586240E-03
   -5.0000,   -3.0000,  -36.6667,  0.28124617E-03,  0.11459362E-02, -0.50738153E-03
   -5.0000,   -1.5000,  -36.6667,  0.14424678E-03,  0.12642508E-02, -0.26022808E-03
   -5.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.13039698E-02, -0.00000000E+00
   -5.0000,    1.5000,  -36.6667, -0.14424678E-03,  0.12642508E-02,  0.26022808E-03
   -5.0000,    3.0000,  -36.6667, -0.28124617E-03,  0.11459362E-02,  0.50738153E-03
    0.0000,   -3.0000,  -36.6667,  0.17642230E-03,  0.79889728E-03, -0.31827425E-03
    0.0000,   -1.5000,  -36.6667,  0.91026237E-04,  0.88417553E-03, -0.16421568E-03
    0.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.91300794E-03, -0.00000000E+00
    0.0000,    1.5000,  -36.6667, -0.91026237E-04,  0.88417553E-03,  0.16421568E-03
    0.0000,    3.0000,  -36.6667, -0.17642230E-03,  0.79889728E-03,  0.31827425E-03
    5.0000,   -3.0000,  -36.6667,  0.10168694E-03,  0.59169362E-03, -0.18344809E-03
    5.0000,   -1.5000,  -36.6667,  0.52548791E-04,  0.65343163E-03, -0.94800529E-04
    5.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.67455736E-03, -0.00000000E+00
    5.0000,    1.5000,  -36.6667, -0.52548791E-04,  0.65343163E-03,  0.94800529E-04
    5.0000,    3.0000,  -36.6667, -0.10168694E-03,  0.59169362E-03,  0.18344809E-03
   10.0000,   -3.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -36.6667,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -32.0833,  0.10277919E-02,  0.46583293E-02, -0.18541856E-02
  -15.0000,   -1.5000,  -32.0833,  0.52143554E-03,  0.49489255E-02, -0.94069461E-03
  -15.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.50472368E-02, -0.00000000E+00
  -15.0000,    1.5000,  -32.0833, -0.52143554E-03,  0.49489255E-02,  0.94069461E-03
  -15.0000,    3.0000,  -32.0833, -0.10277919E-02,  0.46583293E-02,  0.18541856E-02
  -10.0000,   -3.0000,  -32.0833,  0.75857617E-03,  0.32284979E-02, -0.13685076E-02
  -10.0000,   -1.5000,  -32.0833,  0.38458343E-03,  0.34608967E-02, -0.69380687E-03
  -10.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.35389176E-02, -0.00000000E+00
  -10.0000,    1.5000,  -32.0833, -0.38458343E-03,  0.34608967E-02,  0.69380687E-03
  -10.0000,    3.0000,  -32.0833, -0.75857617E-03,  0.32284979E-02,  0.13685076E-02
   -5.0000,   -3.0000,  -32.0833,  0.54149455E-03,  0.21926857E-02, -0.97688203E-03
   -5.0000,   -1.5000,  -32.0833,  0.27520934E-03,  0.23785667E-02, -0.49649078E-03
   -5.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.24407431E-02, -0.00000000E+00
   -5.0000,    1.5000,  -32.0833, -0.27520934E-03,  0.23785667E-02,  0.49649078E-03
   -5.0000,    3.0000,  -32.0833, -0.54149455E-03,  0.21926857E-02,  0.97688203E-03
    0.0000,   -3.0000,  -32.0833,  0.37017490E-03,  0.14766408E-02, -0.66781319E-03
    0.0000,   -1.5000,  -32.0833,  0.18908534E-03,  0.16202679E-02, -0.34111898E-03
    0.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.16683526E-02, -0.00000000E+00
    0.0000,    1.5000,  -32.0833, -0.18908534E-03,  0.16202679E-02,  0.34111898E-03
    0.0000,    3.0000,  -32.0833, -0.37017490E-03,  0.14766408E-02,  0.66781319E-03
    5.0000,   -3.0000,  -32.0833,  0.24095128E-03,  0.10064808E-02, -0.43468762E-03
    5.0000,   -1.5000,  -32.0833,  0.12385283E-03,  0.11124538E-02, -0.22343642E-03
    5.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.11481031E-02, -0.00000000E+00
    5.0000,    1.5000,  -32.0833, -0.12385283E-03,  0.11124538E-02,  0.22343642E-03
    5.0000,    3.0000,  -32.0833, -0.24095128E-03,  0.10064808E-02,  0.43468762E-03
   10.0000,   -3.0000,  -32.0833,  0.14765067E-03,  0.71390984E-03, -0.26636886E-03
   10.0000,   -1.5000,  -32.0833,  0.76292324E-04,  0.78983005E-03, -0.13763500E-03
   10.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.81558572E-03, -0.00000000E+00
   10.0000,    1.5000,  -32.0833, -0.76292324E-04,  0.78983005E-03,  0.13763500E-03
   10.0000,    3.0000,  -32.0833, -0.14765067E-03,  0.71390984E-03,  0.26636886E-03
   15.0000,   -3.0000,  -32.0833,  0.80871836E-04,  0.54406109E-03, -0.14589665E-03
   15.0000,   -1.5000,  -32.0833,  0.41663847E-04,  0.60033040E-03, -0.75163570E-04
   15.0000,    0.0000,  -32.0833,  0.00000000E+00,  0.61971148E-03, -0.00000000E+00
   15.0000,    1.5000,  -32.0833, -0.41663847E-04,  0.60033040E-03,  0.75163570E-04
   15.0000,    3.0000,  -32.0833, -0.80871836E-04,  0.54406109E-03,  0.14589665E-03
  -15.0000,   -3.0000,  -27.5000,  0.16530171E-02,  0.81243586E-02, -0.29821218E-02
  -15.0000,   -1.5000,  -27.5000,  0.84527323E-03,  0.85989173E-02, -0.15249133E-02
  -15.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.87618797E-02, -0.00000000E+00
  -15.0000,    1.5000,  -27.5000, -0.84527323E-03,  0.85989173E-02,  0.15249133E-02
  -15.0000,    3.0000,  -27.5000, -0.16530171E-02,  0.81243586E-02,  0.29821218E-02
  -10.0000,   -3.0000,  -27.5000,  0.12404930E-02,  0.58444712E-02, -0.22379086E-02
  -10.0000,   -1.5000,  -27.5000,  0.63073564E-03,  0.61884973E-02, -0.11378772E-02
  -10.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.63056025E-02, -0.00000000E+00
  -10.0000,    1.5000,  -27.5000, -0.63073564E-03,  0.61884973E-02,  0.11378772E-02
  -10.0000,    3.0000,  -27.5000, -0.12404930E-02,  0.58444712E-02,  0.22379086E-02
   -5.0000,   -3.0000,  -27.5000,  0.92786165E-03,  0.41138414E-02, -0.16739067E-02
   -5.0000,   -1.5000,  -27.5000,  0.47044746E-03,  0.43820149E-02, -0.84870969E-03
   -5.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.44724678E-02, -0.00000000E+00
   -5.0000,    1.5000,  -27.5000, -0.47044746E-03,  0.43820149E-02,  0.84870969E-03
   -5.0000,    3.0000,  -27.5000, -0.92786165E-03,  0.41138414E-02,  0.16739067E-02
    0.0000,   -3.0000,  -27.5000,  0.67797997E-03,  0.28289952E-02, -0.12231083E-02
    0.0000,   -1.5000,  -27.5000,  0.34390091E-03,  0.30445647E-02, -0.62041367E-03
    0.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.31168069E-02, -0.00000000E+00
    0.0000,    1.5000,  -27.5000, -0.34390091E-03,  0.30445647E-02,  0.62041367E-03
    0.0000,    3.0000,  -27.5000, -0.67797997E-03,  0.28289952E-02,  0.12231083E-02
    5.0000,   -3.0000,  -27.5000,  0.47715567E-03,  0.19123115E-02, -0.86081162E-03
    5.0000,   -1.5000,  -27.5000,  0.24287457E-03,  0.20831684E-02, -0.43815732E-03
    5.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.21403085E-02, -0.00000000E+00
    5.0000,    1.5000,  -27.5000, -0.24287457E-03,  0.20831684E-02,  0.43815732E-03
    5.0000,    3.0000,  -27.5000, -0.47715567E-03,  0.19123115E-02,  0.86081162E-03
   10.0000,   -3.0000,  -27.5000,  0.32090089E-03,  0.12896697E-02, -0.57892053E-03
   10.0000,   -1.5000,  -27.5000,  0.16426381E-03,  0.14195987E-02, -0.29633976E-03
   10.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.14631521E-02, -0.00000000E+00
   10.0000,    1.5000,  -27.5000, -0.16426381E-03,  0.14195987E-02,  0.29633976E-03
   10.0000,    3.0000,  -27.5000, -0.32090089E-03,  0.12896697E-02,  0.57892053E-03
   15.0000,   -3.0000,  -27.5000,  0.20499420E-03,  0.88819784E-03, -0.36981933E-03
   15.0000,   -1.5000,  -27.5000,  0.10559211E-03,  0.98274673E-03, -0.19049321E-03
   15.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.10146316E-02, -0.00000000E+00
   15.0000,    1.5000,  -27.5000, -0.10559211E-03,  0.98274673E-03,  0.19049321E-03
   15.0000,    3.0000,  -27.5000, -0.20499420E-03,  0.88819784E-03,  0.36981933E-03
  -15.0000,   -3.0000,  -22.9167,  0.27978259E-02,  0.13641327E-01, -0.50474116E-02
  -15.0000,   -1.5000,  -22.9167,  0.14493079E-02,  0.14610202E-01, -0.26146207E-02
  -15.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.14945636E-01, -0.00000000E+00
  -15.0000,    1.5000,  -22.9167, -0.14493079E-02,  0.14610202E-01,  0.26146207E-02
  -15.0000,    3.0000,  -22.9167, -0.27978259E-02,  0.13641327E-01,  0.50474116E-02
  -10.0000,   -3.0000,  -22.9167,  0.20123610E-02,  0.99916237E-02, -0.36303953E-02
  -10.0000,   -1.5000,  -22.9167,  0.10340041E-02,  0.10605519E-01, -0.18653928E-02
  -10.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.10817243E-01, -0.00000000E+00
  -10.0000,    1.5000,  -22.9167, -0.10340041E-02,  0.10605519E-01,  0.18653928E-02
  -10.0000,    3.0000,  -22.9167, -0.20123610E-02,  0.99916237E-02,  0.36303953E-02
   -5.0000,   -3.0000,  -22.9167,  0.14950293E-02,  0.72638783E-02, -0.26971042E-02
   -5.0000,   -1.5000,  -22.9167,  0.76277381E-03,  0.76842629E-02, -0.13760804E-02
   -5.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.78282172E-02, -0.00000000E+00
   -5.0000,    1.5000,  -22.9167, -0.76277381E-03,  0.76842629E-02,  0.13760804E-02
   -5.0000,    3.0000,  -22.9167, -0.14950293E-02,  0.72638783E-02,  0.26971042E-02
    0.0000,   -3.0000,  -22.9167,  0.11234947E-02,  0.51892236E-02, -0.20268381E-02
    0.0000,   -1.5000,  -22.9167,  0.57048623E-03,  0.55027808E-02, -0.10291844E-02
    0.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.56091633E-02, -0.00000000E+00
    0.0000,    1.5000,  -22.9167, -0.57048623E-03,  0.55027808E-02,  0.10291844E-02
    0.0000,    3.0000,  -22.9167, -0.11234947E-02,  0.51892236E-02,  0.20268381E-02
    5.0000,   -3.0000,  -22.9167,  0.83525482E-03,  0.36226138E-02, -0.15068396E-02
    5.0000,   -1.5000,  -22.9167,  0.42340041E-03,  0.38710119E-02, -0.76383456E-03
    5.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.39545714E-02, -0.00000000E+00
    5.0000,    1.5000,  -22.9167, -0.42340041E-03,  0.38710119E-02,  0.76383456E-03
    5.0000,    3.0000,  -22.9167, -0.83525482E-03,  0.36226138E-02,  0.15068396E-02
   10.0000,   -3.0000,  -22.9167,  0.60319174E-03,  0.24736344E-02, -0.10881867E-02
   10.0000,   -1.5000,  -22.9167,  0.30623675E-03,  0.26732207E-02, -0.55246572E-03
   10.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.27400237E-02, -0.00000000E+00
   10.0000,    1.5000,  -22.9167, -0.30623675E-03,  0.26732207E-02,  0.55246572E-03
   10.0000,    3.0000,  -22.9167, -0.60319174E-03,  0.24736344E-02,  0.10881867E-02
   15.0000,   -3.0000,  -22.9167,  0.41816588E-03,  0.16671973E-02, -0.75439123E-03
   15.0000,   -1.5000,  -22.9167,  0.21322544E-03,  0.18234333E-02, -0.38466888E-03
   15.0000,    0.0000,  -22.9167,  0.00000000E+00,  0.18757015E-02, -0.00000000E+00
   15.0000,    1.5000,  -22.9167, -0.21322544E-03,  0.18234333E-02,  0.38466888E-03
