x_cm,y_cm,z_cm,bx_T,by_T,bz_T
   -4.5000,   -4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,   -2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    0.0000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,   -4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,   -2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    0.0000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,   -4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,   -2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    0.0000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,   -4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,   -2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    0.0000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    2.2500,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    4.5000,  -35.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,   -4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,   -2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    0.0000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,   -4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,   -2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    0.0000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.2500,    4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,   -4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,   -2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    0.0000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.2500,    4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,   -4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,   -2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    0.0000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    2.2500,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.5000,    4.5000,  -31.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,   -4.5000,  -28.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,   -2.2500,  -28.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.5000,    0.0000,  -28.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
