theta_mrad,x_mslt_cm,x_fslt_cm
-10.2823,nan,nan
-0.6298,0.10800,0.43665
-13.2123,-0.08767,0.22973
10.2436,-0.01525,0.34518
-11.2920,-0.07147,-0.00976
1.4408,nan,nan
9.7904,0.02864,0.44206
6.3916,0.15624,0.53018
-5.5214,0.06661,0.44959
5.3230,-0.00149,0.34556
5.9527,-0.07794,0.23418
3.7227,nan,nan
4.8940,0.03635,0.33220
6.4176,0.09267,0.45114
-8.5991,-0.15493,0.17146
7.5271,-0.08209,-0.10730
7.5410,0.05915,0.46076
12.7019,-0.07608,0.26782
9.6536,-0.01143,0.19682
-4.2717,-0.17013,0.11426
-12.7183,-0.00667,0.39537
0.9971,0.01873,0.36138
-17.4881,-0.21609,-0.05925
-5.8726,-0.12639,-0.12641
-7.3563,-0.04084,0.25731
-3.8806,-0.08812,0.28686
-4.5700,-0.02635,0.28828
-0.9724,-0.08326,0.29024
-11.2860,-0.13641,0.19082
11.1867,-0.10395,0.15073
2.8215,0.01283,0.35104
-15.7083,0.07998,0.44197
-14.0481,0.01377,0.20520
8.7634,-0.18234,0.15763
5.5815,-0.03122,0.05668
-9.4928,-0.21056,0.02160
10.6276,-0.18248,0.06766
-5.7024,0.01174,0.22776
-4.2377,-0.21415,-0.30781
3.9200,nan,nan
-2.4972,0.08758,0.57343
8.3321,0.03308,0.46133
2.4279,-0.03981,0.34177
-3.9349,nan,nan
6.5913,-0.00426,0.30623
-10.8318,-0.02162,0.31361
-1.4688,0.20847,0.70291
-9.7710,-0.02706,0.27510
-1.5273,nan,nan
-12.2945,-0.10300,0.01021
-0.5422,-0.28649,-0.36265
-4.0405,0.08312,0.45380
11.5307,0.10304,0.54171
18.2219,nan,nan
-6.0278,-0.05078,0.29852
-5.2688,-0.08264,0.06964
11.3060,0.09745,0.37583
14.2492,-0.10623,0.04826
2.9746,0.11230,0.49902
2.2168,0.10171,0.35508
-7.6089,-0.05171,0.29849
-14.3221,0.04280,0.41298
2.2389,nan,nan
-12.3701,0.00416,0.25321
-3.1352,-0.02800,0.32392
-9.6963,nan,nan
-17.0153,-0.16277,0.08733
12.0416,-0.00596,0.36975
-3.5803,0.05104,0.10099
-2.5017,-0.01079,0.31554
15.2334,-0.09895,0.25868
1.2371,0.03538,0.39027
5.0742,0.12424,0.51127
-1.2731,-0.03578,0.29378
7.5327,-0.01906,0.04898
-5.8662,0.00173,-0.02700
12.6876,0.00082,0.37527
5.6234,-0.09296,-0.02385
-3.5086,-0.02362,0.28519
11.3163,-0.14139,0.21594
-1.2486,-0.08508,0.18337
-3.0030,-0.06814,-0.04737
-3.9241,-0.09010,0.12684
-15.0579,0.03374,0.41207
4.0847,0.08594,0.43847
2.3002,0.17752,0.54351
11.4119,0.02483,0.24245
-1.0267,0.01335,0.09897
-7.6840,0.14706,0.63661
-16.3690,-0.05699,0.28125
2.7291,0.02939,0.36684
-5.6798,-0.11273,0.18411
1.5211,-0.11538,0.16230
-1.8628,-0.05959,0.15594
-2.3409,0.00858,0.38133
3.5074,-0.05984,0.21633
-12.7963,-0.07812,0.21734
9.9304,-0.11388,0.03388
-12.9099,-0.03003,0.28844
-0.6469,-0.09954,0.10333
0.8306,-0.08372,0.15775
-11.4182,-0.16508,-0.07342
13.7122,0.01858,0.40604
14.6382,0.01917,0.42368
-4.2845,0.04484,0.41845
5.6934,-0.05197,-0.06966
-1.0892,-0.14627,0.01324
4.2369,-0.10226,0.12112
7.6893,0.10693,0.25473
-20.4743,-0.19826,nan
-9.5040,-0.03602,0.26782
-5.2161,-0.11372,0.21053
10.8051,-0.00923,0.34818
-5.2260,-0.10991,0.17160
-9.7027,-0.06961,-0.03300
-0.2207,0.02516,0.35200
-4.2090,0.05092,0.45321
-7.7201,-0.18710,-0.11486
5.0705,-0.02721,0.20376
-7.3385,nan,nan
-8.6876,-0.09991,0.21660
-5.3406,-0.09021,0.04395
8.9733,-0.04602,0.32876
15.8973,nan,nan
-10.9928,0.06434,0.47072
-8.1891,-0.09473,0.00214
-0.0589,0.00441,0.47152
-0.6799,0.03833,0.23867
-4.3994,0.06642,0.35325
11.2880,0.08496,0.39474
7.1009,-0.04081,0.28525
-2.7340,-0.04234,0.16701
2.2080,-0.04783,0.29900
0.6184,nan,nan
-13.5781,-0.03779,0.15643
3.6891,-0.04498,0.14174
-5.5803,0.10599,0.42331
6.5027,-0.18744,-0.18621
-4.0544,-0.08433,0.08306
-6.8801,0.03026,0.36220
5.7492,-0.04891,0.27567
-10.0952,-0.12684,0.18319
14.2191,0.10232,0.51786
-3.5329,nan,nan
5.2701,-0.19375,-0.25411
-6.1950,-0.08900,0.18618
5.1445,0.08596,0.33820
-10.0627,0.04645,0.30306
-20.1181,-0.24789,nan
-3.4244,-0.04345,0.29603
13.0567,0.02818,0.22466
0.9136,-0.16038,-0.24630
-6.9127,-0.07795,0.15179
12.6286,0.04606,0.44592
-0.5987,-0.03380,0.10947
-1.9806,-0.09293,-0.10545
0.4775,nan,nan
-0.6609,-0.09606,0.21289
-10.2092,0.06059,0.40704
12.7518,-0.11003,0.25710
0.5626,0.11888,0.54188
-7.7926,-0.03497,0.22517
9.6050,-0.01775,0.25704
-12.9471,-0.21848,-0.32725
-12.0477,-0.17102,-0.08069
-8.1065,-0.00680,0.37700
8.1539,-0.04845,0.34742
-5.8825,0.00675,0.32633
3.4164,-0.06151,0.25449
-3.6803,nan,nan
-1.6380,-0.01316,0.27208
-11.3498,-0.24946,-0.06254
8.8962,nan,nan
-0.9439,-0.03604,0.19427
11.3233,0.02668,0.41834
6.9633,nan,nan
14.0853,-0.04901,0.31687
-4.5049,0.07144,0.36560
-5.4874,-0.09357,0.20130
12.5289,-0.01572,nan
16.6564,-0.05757,0.32144
-14.6298,-0.15402,0.12474
-7.8984,-0.06351,0.02938
5.8489,0.10512,0.50119
3.3887,0.03384,0.33209
7.2773,-0.20293,0.01092
0.6937,-0.07959,0.11220
-5.5145,-0.04607,0.30416
-15.9111,-0.24092,-0.20017
-8.1414,nan,nan
4.8449,nan,nan
0.3217,nan,nan
-7.6816,0.11672,0.51392
-4.8784,-0.12416,-0.21662
-10.1705,-0.08094,0.22804
-4.2473,-0.10956,0.13715
12.8146,nan,nan
-0.9300,0.02304,0.47224
-10.2501,-0.03707,0.13295
2.9932,0.13175,0.23044
12.1724,-0.00946,0.34588
11.5155,-0.07558,0.16937
-13.4653,-0.21306,-0.12293
8.6012,0.12008,0.36592
-0.5429,-0.00970,0.23717
-6.7128,0.16635,0.64945
-7.9499,-0.09197,0.26480
5.2301,nan,nan
4.9901,0.03742,0.11549
2.4867,0.07737,0.41025
-8.7865,-0.18261,0.11238
-4.0168,-0.10783,0.10653
-3.6292,-0.10392,0.19885
2.8044,-0.07166,0.27460
-3.6919,nan,nan
2.7894,-0.00916,0.29363
-8.6009,0.03465,0.33149
-7.9966,-0.07473,-0.09986
-3.1100,-0.10775,0.02026
-1.5307,-0.17471,-0.04026
-7.9662,-0.07519,0.23484
-15.6385,-0.16388,-0.00280
-6.9844,-0.03334,0.22624
2.5250,-0.06590,0.12324
-8.4866,-0.05961,0.08939
17.3086,nan,nan
12.8880,-0.11168,0.08037
-6.5506,-0.05024,0.28497
7.0064,0.03149,0.38434
17.2911,nan,nan
12.3538,-0.01926,0.35596
-3.3124,0.06645,0.44788
-7.9544,-0.03838,0.31733
3.7210,0.06347,0.34791
11.7844,0.04142,0.45089
6.5944,0.00047,0.32333
5.6661,-0.01641,0.17833
15.6451,-0.04164,0.31977
-5.2962,-0.01324,0.31128
18.2671,nan,nan
-1.6787,nan,nan
19.8338,nan,nan
15.2581,-0.04186,0.33365
-17.3582,-0.07866,0.24925
3.7899,-0.02913,0.45811
-7.7167,-0.23204,-0.24389
-2.6139,0.02568,0.35354
5.1153,-0.06448,0.23386
2.3243,-0.09993,0.35148
13.5456,-0.08995,0.24280
-4.5885,-0.10543,-0.00490
-13.5266,-0.22548,-0.21481
6.8963,0.08376,0.54192
-7.4385,0.15746,0.52544
5.3937,-0.09950,0.17767
-7.9451,-0.00893,0.25352
-10.2860,-0.13975,-0.14878
10.6116,0.15895,0.59925
-8.4781,0.06498,0.47560
8.8098,-0.06325,0.26661
-7.1158,-0.05947,0.18575
7.7277,-0.02871,0.22083
11.6387,-0.05490,0.07646
10.7169,0.04608,0.46373
-15.3024,-0.12399,0.17831
-10.6719,-0.08701,0.00838
-4.2462,0.00652,0.34499
-19.1973,-0.03265,0.30322
-4.3924,-0.04981,0.12587
-15.3218,-0.06460,0.25364
6.7793,-0.04218,0.05634
-7.3771,-0.15105,-0.21308
3.3855,0.03556,0.16590
0.1990,-0.00220,0.30664
-6.0934,-0.17806,0.07303
7.9370,-0.07077,0.21898
-10.5605,-0.05194,0.15826
11.9353,nan,nan
-0.4027,-0.10634,0.09700
9.6038,-0.07380,nan
-0.2767,-0.06333,0.20446
-18.6546,0.05216,0.43739
11.4348,0.02382,0.41111
14.3085,-0.05320,0.27511
0.7711,0.05681,0.36269
-10.0502,-0.18427,-0.00175
10.7051,-0.06632,0.16354
5.7323,-0.05899,-0.00042
-8.9368,-0.09722,0.23281
-8.2771,-0.02249,0.32529
-9.2457,-0.18852,-0.00733
-1.1304,-0.00773,0.28559
-11.0819,-0.08935,0.13148
8.6618,-0.07350,0.23021
-7.3383,-0.09210,0.18601
-8.8523,-0.21345,-0.18988
-18.3499,-0.27099,-0.14634
3.4199,0.05226,0.38343
1.4712,-0.01318,0.28778
-8.6936,0.05892,0.43855
3.2281,-0.14245,0.10132
3.1293,0.00523,0.33378
3.1000,-0.01460,0.31506
-5.5124,-0.12317,-0.04705
6.1405,-0.00956,0.41428
0.9129,nan,nan
-1.3837,-0.05547,0.00290
10.8784,nan,nan
2.0874,-0.05030,0.23368
10.5508,0.00882,0.38311
3.1502,-0.09239,-0.05720
-13.8384,-0.18720,0.06722
-9.1864,-0.07209,0.26950
7.7412,-0.08719,0.07902
2.9793,nan,nan
9.8110,0.02473,0.37549
-4.3780,0.02755,0.38670
-13.9764,0.02180,0.34445
-4.9663,-0.13248,-0.19354
-7.1024,-0.17304,0.10265
9.3291,0.06514,0.27242
15.3197,0.06951,0.49417
-0.3884,-0.06406,-0.04097
-14.7292,-0.11738,0.00862
11.6535,0.00341,0.20265
12.0777,0.01652,0.16319
-16.2619,-0.05286,0.11710
-13.9878,-0.18308,-0.12918
-8.0533,-0.10760,0.19790
13.6099,-0.13234,0.17422
-12.0101,0.04338,0.36347
0.9777,-0.16238,0.04344
-4.2372,0.06446,0.51163
-18.5939,-0.10440,0.12721
-15.1278,-0.16065,-0.14751
2.6158,0.21638,0.72231
-18.6313,-0.19915,-0.17230
2.2687,-0.09068,-0.05862
-9.7855,-0.01740,0.33399
-15.9158,nan,nan
-1.0847,-0.09181,0.13375
-8.5603,-0.15443,0.09978
6.7750,-0.00696,0.31392
-12.3268,-0.15888,-0.02135
11.3381,nan,nan
-4.1221,-0.00422,0.23790
7.6168,0.01484,0.36796
5.8049,nan,nan
-2.8617,nan,nan
-4.3866,nan,nan
-1.2454,-0.03673,0.28715
15.0576,0.07178,0.49880
-9.1530,-0.00081,0.31702
2.1670,0.06721,0.37023
0.3152,0.03981,0.51656
-17.4712,-0.33023,nan
1.5209,-0.05312,0.09284
-1.8184,-0.08968,0.23293
-1.9445,-0.24068,-0.38273
2.0046,0.02988,0.39164
-10.1560,-0.05151,0.24196
3.8346,-0.14244,-0.12567
4.0119,-0.14764,0.23626
0.7170,0.04651,0.39704
5.5215,-0.07162,0.20127
-11.6983,-0.21679,0.02875
-8.4308,0.08048,0.52254
13.3049,0.05193,0.46507
2.7411,-0.11101,0.14338
-2.6194,-0.14882,-0.14658
-13.4509,-0.02168,0.35958
8.0700,0.00918,0.36647
-1.2476,nan,nan
4.0300,0.08260,0.43214
12.2691,nan,nan
11.4575,0.06016,0.48499
5.6986,-0.10072,-0.04330
17.2955,0.08748,0.54998
-6.6124,-0.13999,0.18403
-7.5742,0.04074,0.27915
-3.4957,0.08955,0.50122
10.6017,-0.05154,0.30735
9.8775,-0.04456,0.26968
0.5376,-0.08562,0.12490
11.8561,0.01891,0.41643
-10.4767,0.07752,0.48451
-6.1674,-0.00310,0.43039
12.2667,-0.00766,0.36948
-3.5978,-0.05607,0.29327
0.2148,nan,nan
-2.9020,-0.01185,0.33553
-11.9141,-0.10715,0.13502
0.3746,-0.04133,0.25566
8.9815,0.04265,0.41330
-4.7796,-0.11886,0.20569
16.6643,nan,nan
-14.7475,-0.14105,0.15828
-7.1130,0.01305,0.33475
1.3168,-0.05379,0.20694
0.7823,-0.07942,0.11408
8.8368,-0.03092,0.07089
-2.3340,-0.18659,0.07683
0.8493,-0.04546,0.32394
-0.9429,0.06717,0.48358
-10.3025,0.06654,0.45210
0.3957,-0.05538,0.23156
-9.0410,0.03520,0.38928
-0.7254,-0.06099,0.17035
-15.7139,-0.01862,0.28100
-10.4542,-0.14832,-0.02634
-3.6216,-0.10682,-0.03460
-10.2677,-0.18344,-0.10878
-12.1674,-0.11743,0.20007
-6.1258,-0.05577,0.26670
-14.5120,-0.06309,0.25289
-2.7023,-0.06440,0.18267
13.1023,nan,nan
-0.2311,-0.01106,0.31723
-11.2414,-0.11063,0.18207
11.4835,-0.14188,0.17128
12.8537,0.00500,0.26189
-6.0869,-0.06505,0.16264
-4.0544,0.02115,0.47146
9.1579,nan,nan
-16.0371,-0.20875,-0.17720
-9.1251,-0.13194,-0.05375
-19.3533,-0.06482,0.08942
-11.2446,-0.25385,-0.01136
1.2781,0.02454,0.50335
3.1390,-0.07250,0.27110
15.9192,0.01072,0.43461
13.8111,0.05928,0.48857
-10.6082,-0.07643,0.22318
-12.7424,-0.09876,0.01924
5.6436,0.04842,0.37289
-7.6213,0.03498,0.17327
11.9946,0.03036,0.40749
-10.6751,0.00263,0.31447
-5.3603,0.01797,0.46039
-2.1846,0.16986,0.74460
-12.9402,0.00491,0.38122
1.8758,-0.17717,0.11694
-11.8234,-0.18853,-0.06000
-6.4103,-0.16087,0.04384
-1.1576,0.10550,0.45472
-4.5257,-0.05243,0.24414
-10.5624,-0.17090,0.06152
12.0542,0.05391,0.47353
-5.0131,0.08955,0.41498
2.0052,-0.06738,0.07429
11.0462,0.11955,0.49115
-9.3018,0.06054,0.49238
-3.5901,nan,nan
4.3748,-0.15082,0.10092
-1.8328,-0.25259,-0.28514
16.6584,0.04286,0.48811
5.1218,0.11144,0.55960
2.3863,0.02334,0.35176
-10.6870,-0.08910,0.02248
17.8386,nan,nan
-10.0927,-0.06612,0.11988
17.3137,nan,nan
6.1697,0.01321,0.30330
9.9548,-0.06406,0.03176
9.0940,nan,nan
6.8002,-0.24285,-0.37313
8.0911,-0.09245,0.00654
9.9863,-0.03155,0.28091
-1.4779,-0.25884,-0.12332
-11.1535,-0.05490,0.21718
13.0187,0.10605,0.54656
-13.8565,-0.05872,0.28827
5.4045,-0.07627,0.34625
-5.5838,-0.02489,0.32693
-10.5527,-0.10404,0.00701
-8.6173,-0.02489,0.15386
-8.6899,-0.08308,0.26052
6.4753,0.10314,0.49574
9.3184,-0.06720,0.31856
-12.2677,0.14023,0.58244
-14.7129,-0.23606,-0.00104
9.5721,0.08892,0.53448
-6.7560,-0.05868,0.03707
-9.0681,-0.04827,0.08326
-0.3719,0.00869,0.33537
3.0512,0.07386,0.26754
14.2729,0.05414,0.48459
19.0729,-0.13204,0.24450
15.8681,-0.07768,0.18403
7.0448,-0.01904,0.30414
-4.8934,-0.02322,0.31340
-16.7304,-0.15967,-0.00936
-6.4548,-0.09685,0.03190
-0.0127,-0.11524,-0.03367
12.9801,-0.02780,0.34343
-14.3638,-0.19803,-0.12413
-1.9046,0.06990,0.46583
2.2405,0.02028,0.28503
-4.0912,-0.00381,0.30482
10.8525,0.01512,0.42995
5.5036,0.02916,0.30968
-9.1676,0.08711,0.50118
-3.9960,-0.23619,-0.11236
-0.8325,-0.00545,0.35182
14.0843,0.00494,0.40601
-15.6581,-0.18098,-0.01008
8.5738,-0.06792,0.09538
3.4950,nan,nan
-9.5824,0.01917,0.10708
-2.1498,0.06790,0.42499
-4.1632,-0.06667,0.29778
5.6698,-0.03936,-0.02811
-8.3994,-0.20067,0.01610
-2.8399,-0.02459,0.14461
6.4633,-0.07953,0.20100
-13.0532,-0.12248,0.10885
8.2941,-0.01353,0.26244
10.9224,-0.03658,0.21926
-12.0260,-0.20694,-0.02355
-7.1582,-0.01524,0.33292
3.8211,0.01697,0.35013
-1.8334,-0.12820,0.16887
-7.9246,-0.15008,0.13442
11.5192,0.11973,0.55333
-17.4045,-0.23440,-0.01365
-0.1735,-0.05025,0.10685
-0.0796,-0.14368,-0.21484
-10.4656,-0.17338,0.07094
19.5288,nan,nan
16.4008,nan,nan
-12.1480,-0.14012,0.13398
5.4442,-0.01350,0.34638
-6.8474,-0.04659,0.30594
8.2582,nan,nan
-7.8989,0.06771,0.46624
-5.8852,0.02616,0.09875
3.1081,0.10927,0.60984
-0.9695,0.09948,0.57099
9.7378,0.12531,0.56757
9.7139,nan,nan
-10.4160,0.03067,0.11247
-2.8960,0.02695,0.46116
-8.4814,nan,nan
-12.4829,-0.03231,0.35005
0.7484,-0.15610,0.12331
-8.0804,-0.05335,0.09905
11.5882,0.05761,0.45107
15.9756,nan,nan
13.7336,0.01571,1.48010
15.0383,-0.03483,0.35068
8.9383,0.04740,0.35449
-9.6428,-0.11139,0.04446
13.1929,nan,nan
10.2876,-0.02873,0.19957
14.7266,-0.02983,0.33387
-3.7230,nan,nan
-4.8704,-0.03647,0.26132
-4.6040,0.07985,0.43483
5.2993,-0.09107,0.22697
-5.5942,0.03657,0.46571
-5.7715,-0.08609,0.10637
-13.2271,-0.15203,0.10636
-8.3712,-0.06418,0.29981
0.7489,0.11226,0.48062
-9.7630,-0.04151,0.31926
10.2271,0.10985,0.45575
1.9859,-0.20161,-0.13783
-11.6946,-0.10971,0.12376
1.5533,nan,nan
-7.3895,-0.11972,0.19604
3.0886,nan,nan
0.6081,-0.04163,0.25634
-18.4413,-0.24466,-0.11362
13.6282,0.09484,0.50753
12.7960,-0.00957,0.36404
-1.6095,-0.08968,0.14148
-1.5895,0.00690,0.27440
9.3193,0.11930,0.52704
4.4633,-0.06469,0.23907
-1.2900,-0.14612,0.03509
17.4326,0.08046,0.56194
11.6407,-0.08704,-0.02731
-1.8161,0.01496,0.31050
10.5567,0.07566,0.47954
-14.0467,-0.18527,0.07727
-9.6579,nan,nan
-5.6629,-0.00798,0.26425
-5.1184,-0.26480,-0.42452
-4.6731,0.05646,0.35722
-2.4235,nan,nan
11.1182,-0.00248,0.38183
-9.7748,-0.10362,-0.09555
-0.5792,0.14601,0.73113
9.5572,nan,nan
-7.3283,0.00104,0.39021
19.5843,-0.03180,0.42728
-3.1428,-0.02568,0.20437
-10.9818,0.11933,0.46080
10.0130,-0.04563,0.11805
8.6152,-0.06452,-0.02693
4.0241,-0.10176,-0.16699
1.6424,-0.03618,-0.06159
-2.2074,-0.15485,0.02455
-7.1935,0.05984,0.17210
7.3754,-0.06882,-0.00048
-6.2910,0.05111,0.40876
14.7506,-0.01814,0.32033
6.4522,nan,nan
-13.2488,-0.16188,-0.05496
-1.1190,nan,nan
12.5521,0.03730,0.36935
8.8535,-0.02896,0.37949
3.5843,nan,nan
-10.0997,0.07638,0.51613
6.7478,-0.08734,0.19526
16.3484,0.08055,0.55912
-17.6569,-0.00185,0.32016
-9.8483,-0.12500,0.18919
-16.5075,-0.04321,0.32086
-10.2285,-0.13142,0.05906
-6.2568,-0.02987,0.30854
7.4836,0.06125,0.27928
-0.4128,-0.01598,0.08506
-2.2381,-0.08373,0.16426
-16.4942,-0.11122,0.13867
11.3560,-0.06093,0.06864
2.5273,0.02547,0.21212
2.9658,-0.04991,0.16598
5.4480,0.09432,0.31521
-10.2403,0.01587,0.38634
2.2541,-0.00450,0.32998
15.8281,-0.06919,0.29913
1.0413,-0.02854,0.25042
-15.0301,-0.14666,-0.09843
1.0332,0.00733,-0.00773
-11.4104,0.16844,0.65232
4.3887,-0.00791,0.24360
-8.7362,0.00563,0.41003
1.8695,nan,nan
-9.1989,0.16099,0.56022
-9.6412,-0.12253,0.03361
2.8309,-0.10998,-0.15929
-8.0422,-0.17927,-0.26726
12.8955,-0.06035,0.25841
10.2461,-0.04527,0.11112
-3.6452,-0.03515,0.32452
1.7338,-0.07337,0.10985
10.5496,-0.08872,0.24735
-3.3925,-0.12569,0.21876
